ID	Source	Target	Type	Style	Dataset
ted_en2de_99413	"When you think about that , let me go back to what Lionel Trilling , in his seminal book on authenticity , &quot; &quot; Sincerity and Authenticity &quot; &quot; — came out in 1960 — points to as the seminal point at which authenticity entered the lexicon , if you will ."	"Lassen Sie mich zurückgehen zu Lionel Trilling , der in seinem Standardwerk über Authentizität , &quot; &quot; Sincerity and Authenticity &quot; &quot; aus den 1960ern ( [1972] [Anm . D. Übers .] ) auf den Zeitpunkt hinweist zu dem Authentizität im Sprachgebrauch erstmals auftauchte ."	"ADD_INF; LING_EXPL"	"A; A"	POOL
ted_en2de_9935	Flocks that were [a mile] wide and [400 miles] long used to darken the sun .	Schwärme mit einer Breite von [1,5 km] und einer Länge von [600 km] verdunkelten die Sonne .	"MEAS_CONV; MEAS_CONV"	"R; R"	POOL
ted_en2de_99218	And it can collect six million gallons of rainwater in one season .	Und es kann 6 Millionen Gallonen [( 22,7 Mio. Liter )] Regenwasser in einer Regenzeit sammeln .	MEAS_CONV	A	POOL
ted_en2de_99214	In fact they go 15 feet deep , and collect rain water from roof , there is a small pipe , and from their courtyard .	Tatsächlich sind sie 15 Fuß [( 4,6m )] tief , und sammeln Regenwasser vom Dach , dort ist ein kleines Rohr , und von ihrem Innenhof .	MEAS_CONV	A	POOL
ted_en2de_9845	"Then he said , &quot; &quot; Do you have gaffer &apos;s tape ? &quot; &quot; I said , &quot; &quot; What ? &quot; &quot; He said , &quot; &quot; Do you have gaffer &apos;s tape ? &quot; &quot; I said , &quot; &quot; Yeah , somewhere in my Halliburton . &quot; &quot; He says , &quot; &quot; We &apos;ve got to stop the smoke . &quot; &quot; He said , &quot; &quot; That &apos;s all we can do , we &apos;ve got to stop the smoke . &quot; &quot; I mean , Gene — thank God for Gene ."	"Dann sagte er : &quot; &quot; Hast du Kleb Band ? &quot; &quot; - &quot; &quot; Was ? &quot; &quot; - &quot; &quot; Hast du Kleb Band ? &quot; &quot; &quot; Ja , irgend wo in meinem Halliburton [&#91; Koffer &#93;] &quot; &quot; &quot; Wir müssen den Rauch stoppen &quot; &quot; , sagte er , &quot; Das ist alles , was wir tun können &quot; Gene , Gott sei Dank gab es Gene ."	ENT_HYP	A	EXTR
ted_en2de_983	"I am a marine toxicologist , and I &apos;ve been very , very concerned about the Gulf , particularly about the massive applications of the toxic dispersants , the Corexits ."	Ich bin Meerestoxikologin und ich mach mir sehr große Sorgen um den Golf [von Mexiko] , vor allem wegen des massiven Einsatzes von toxischen Dispersionsmitteln , Corexit .	ENT_SPEC	A	EXTR
ted_en2de_97760	Packed in Styrofoam , of course , before landing somewhere in the United States , and then being trucked a few [hundred more miles] .	Der Lachs wird natürlich in Styropor verpackt , landet irgendwo in den Vereinigten Staaten und wird dann einige [hunderte Kilometer weiter] transportiert .	MEAS_CONV	R	TRAIN
ted_en2de_97758	"And if that salmon &apos;s from Chile , and it &apos;s killed down there and then flown [5,000 miles] , whatever , dumping how much [carbon] into the atmosphere ?"	Und wenn dieser Lachs in Chile gezüchtet wird , dort getötet wird und dann [8000 Kilometer] weit geflogen wird ? Wie ist da die [CO2]-Bilanz ?	"MEAS_CONV; HYPO_SPEC"	"R; R"	TRAIN
ted_en2de_97638	So , when the USDA finally acknowledged that it was plants , rather than animals , that made people healthy , they encouraged us , via their overly simplistic food pyramid , to eat five servings of fruits and vegetables a day , along with more carbs .	Als die USDA [( die amerikanische Agrarbehörde )] endlich zugab , dass Pflanzen und nicht Tiere die Gesundheit fördern , ermunterten sie uns mit ihrer stark vereinfachten Ernährungspyramide , fünf Portionen Obst und Gemüse pro Tag zu essen , sowie zusätzliche Kohlenhydrate .	ENT_DESC	A	POOL
ted_en2de_97202	"[It] &apos;s a market town in the north of England , 15,000 people , between Leeds and Manchester , fairly normal market town ."	"[Todmorden] ist eine Marktstädtchen im Norden Englands ; mit 15.000 Einwohnern , [gelegen] zwischen Leeds und Manchester , ist sie eine normale Marktgemeinde ."	"CLEAR; CLEAR"	"R; A"	POOL
