ID	Source	Target	Type	Style	Dataset
ted_en2ar_101028	From a greenhouse gas perspective , is lamb produced in the U.K.	من وجهة نظر غازات البيت الزجاجي ]( الإحتباس الحراري )[ ، هل لحم الخروف المنتج في المملكة المتحدة	ADD_INF	A	POOL
ted_en2ar_101034	How is a consumer going to walk through this minefield ?	كيف يمكن للمستهلك أن يسير وسط حقل الألغام هذا ؟ ]( صعوبة اتخاذ القرار )[	LING_EXPL	A	POOL
ted_en2ar_101041	We need Cargill to work with Bunge .	نحتاج كارغيل لتعمل مع بانج ]( كبرى الشركات الزراعية )[ .	ADD_INF	A	POOL
ted_en2ar_101089	In salmon aquaculture , we kicked off a roundtable almost six years ago .	في مجال استزراع سمك السالمون ]( مهدد بالانقراض )[ ، نجحنا في عقد مؤتمر منذ تقريبا ست سنوات مضت .	ADD_INF	A	POOL
ted_en2ar_101097	"For the big companies , it &apos;s reputational risk , but more importantly , they don &apos;t care what the price of commodities is ."	للشركات الكبيرة ، إنه خطر السمعة ، ولكن بشكل أكثر أهمية ، هم لا يهتمون ما هو ثمن السلعة ]( كونهم مستعدين للدفع أكثر للمواد الخام )[ .	LING_EXPL	A	POOL
ted_en2ar_101109	"They &apos;ve funded research that shows that we can double global palm oil production without cutting a single tree in the next 20 years , and do it all in Borneo alone by planting on land that &apos;s already degraded ."	هم قاموا بتمويل بحث أظهر أنه يمكن مضاعفة إنتاج زيت النخيل دون قطع نخلة واحدة للعشرين سنة القادمة وإنتاج كل هذا في بورنيو وحدها ]( المالاي )[ باستزراع أرض كانت من الأصل تصحرت .	ENT_SPEC	A	POOL
ted_en2ar_101118	"It &apos;s a pre-competitive issue ."	هذه قضية قبل المنافسة ]( قبل وصول المنتج للمستهلك )[ .	LING_EXPL	A	POOL
ted_en2ar_101126	"On any given plantation , 20 percent of the trees produce 80 percent of the crop , so Mars is looking at the genome , they &apos;re sequencing the genome of the cocoa plant ."	في جميع أنواع النباتات ، 20 بالمئة من الأشجار تنتج 80 بالمئة من المحصول ، لهذا مارس تبحث في الجينوم ]( الخريطة الجينية )[ ، هم يعززون قوة الجينوم لنبتة الكاكاو .	ADD_INF	A	POOL
ted_en2ar_101159	"You &apos;re walking around ; your car has 12 microprocessors ."	أنت تتمشى في الأرجاء ، في سيارتك ١٢ معالج صغير ]( مايكرو )[ .	TRANS	A	POOL
ted_en2ar_101170	And one thing that is common to all of life is DNA .	والشيء المشترك بين كل الكائنات الحية هو الحمض النووي ] ( DNA )[	TRANS	A	POOL
