ID	Source	Target	Type	Style	Dataset
ted_en2sv_9796	And there are some brilliant linguists , mostly Russians , who are working on that , at Santa Fe Institute and in Moscow , and I would love to see where [that] leads .	Det finns några brillianta språkforskare , mest ryssar , som arbetar med det här på institutet i Santa Fee och i Moskva , och jag längtar efter att se vart deras [arbete] tar oss .	CLEAR	R	EXTR
ted_en2sv_8836	And , as often happens in [America] , immigration became synonymous with Mexicans .	Och , som så ofta händer i [USA] , blev invandring liktydigt med mexikaner .	ENT_REP	R	POOL
ted_en2sv_8731	With the help of IIT , TERI , and learnings from NASA , we discovered that there are three basic green plants , common green plants , with which we can grow all the fresh air we need indoors to keep us healthy .	Med hjälp från IIT [( Indian Institute of Technology )] , TERI och kunskap från NASA , fann vi att det finns tre vanliga gröna växter , vanligt förekommande växter med vars hjälp vi kan tillverka all ren luft vi behöver inomhus för att hålla oss friska .	ENT_ACR	A	EXTR
ted_en2sv_8343	And that made me think that , if we can get 70 percent in Afghanistan , then surely we can get 70 percent reduction everywhere .	Detta fick mig att tänka , om vi kunde få 70 % [mindre våld] i Afghanistan , då kan vi mycket väl få det överallt .	CLEAR	A	EXTR
ted_en2sv_8222	"Could you give me a flight ? Because we &apos;re going to go see him . &quot; &quot; And of course , we went and saw him and it was amazing ."	"Skulle du kunna ge mig oss flygbiljetter ? För att vi skulle gå och se han [&#91; Dalai Lama &#93;] . &quot; &quot; Och självklart , vi gick och såg han och det var underrbart ."	CLEAR	A	EXTR
ted_en2sv_6510	"These aren &apos;t the people that we want deciding what the role of corporate [America] in a free and open Internet should be ."	Dessa är inte de människor som vi vill ska bestämma vilken roll [USA] : s företag ska ha i ett fritt och öppet internet .	ENT_REP	R	EXTR
ted_en2sv_60526	And in those two years , I graduated with my first degree — a [bachelor ’ s degree] .	Och efter två år så fick jag min första examen , en [kandidatexamen] .	SYS_CONV	R	POOL
ted_en2sv_60520	It ’ s only [500 miles] .	Det är bara [lite mer än 800 kilometer] .	MEAS_CONV	R	POOL
ted_en2sv_60315	"If you &apos;re on Valencia Street within those few blocks at around [2 p.m. , 2 : 30 p.m.] , you will get run over , often , by the kids and their big backpacks , or whatever , actually running to this space , which is very strange , because it &apos;s school , in a way ."	Om du är på Valencia Street eller i närheten omkring klockan [14 : 00 , 14 : 30] , så kan du bli påsprungen , ibland , av ungarna med deras stora ryggsäckar , som faktiskt springer dit . Vilket är ganska underligt , eftersom det är skolan , på sätt och vis .	MEAS_CONV	R	EXTR
ted_en2sv_60250	Back in about 2000 , I was living in Brooklyn , I was trying to finish my first book , I was wandering around dazed every day because I wrote [from 12 a.m. to 5 a.m.]	Tillbaka till ungefär år 2000 , så bodde jag i Brooklyn , jag försökte skriva färdigt min första bok , jag vandrade omkring i ett töcken varje dag eftersom jag skrev [från 12 på natten till 5 på morgonen] .	MEAS_CONV	R	EXTR
ted_en2sv_58595	"I scamper down , I go into the wheelhouse and I say , with some level of incredulity , &quot; Captain , OSHA . &quot;"	"Jag rusar ner och går in i styrhytten och säger , lite misstroget , &quot; &quot; Kapten , OSHA . &quot; &quot; [( Arbetsmiljöverket i USA )]"	ENT_DESC	A	EXTR
ted_en2sv_58475	And he kind of flicked [it] open in a way that caught the sun that was just coming over the [Rockies] , it was very — it was , it was impressive .	Han fällde upp [kniven] på ett sätt att den fångade en solstråle av solen som just gick upp över [Klippiga Bergen] , det var mycket — det var imponerande .	"ENT_ACR; CLEAR"	R	EXTR
ted_en2sv_58445	"It &apos;s only [a couple dozen square miles] . It &apos;s in the [Rockies] ."	Den är [bara 13 km ²] [stor] , ligger i [Klippiga Bergen] .	"MEAS_CONV; MEAS_DIM; ENT_ACR"	"A; R"	POOL
ted_en2sv_58165	Sometimes , I would compare facial features and playing with words : irony , Iron Man , ironing man .	"Ibland jämför jag ansiktsdrag och ibland leker jag med ordassociationer : irony , Iron Man , ironing man . [&#91; Ironi , Iron Man , man som stryker &#93;]"	TRANS	A	EXTR
ted_en2sv_57899	And when I graduated from [college] , I started software companies .	Efter [universitetet] startade jag mjukvaruföretag .	SYS_CONV	R	POOL
ted_en2sv_57297	Studies say that tens of thousands of [American] grandmothers , grandfathers , mothers and fathers might be around for another birthday if we included more seafood .	Studier säger att tiotusentals av [USA] : s mor - och farföräldrar , mammor och pappor skulle kunna vara i livet ännu en födelsedag om vi åt mer skaldjur .	ENT_REP	R	EXTR
ted_en2sv_55381	I gave them six [GCSE] questions .	Jag gav dem sex frågor från det [allmänna intyget för avslutad gymnasieutbildning] .	SYS_DESC	R	POOL
ted_en2sv_5536	RB : In fact , I think [our airline] took a full page ad at the time saying , you know , come on , Richard , there are better ways of crossing the Atlantic .	"RB : Jag har för mig att [Virgin Airlines] la in en fullsidesannons där det stod &quot; &quot; Kom igen , Richard , det finns bättre sätt att korsa Atlanten på ! &quot; &quot;"	DEIX	R	EXTR
ted_en2sv_5531	[The years] — and until I stopped looking at the polls , you were sort of regarded as this great hero in the [U.K.] and [elsewhere] .	[Under ett par år] , innan jag slutade titta på sådana undersökningar , sågs du som en sorts hjälte i [Storbritannien] och på [andra platser i världen] .	"ENT_REP; HYPO_SPEC"	R	EXTR
ted_en2sv_55125	"In non-professional circles outside [America] , it &apos;s largely ignored ."	I icke-professionella kretsar utanför [USA] är den till stora delar ignorerad .	ENT_REP	R	EXTR
ted_en2sv_5498	CA : He gave a wonderful talk [here] two days ago .	CA : Han höll en fantastisk föreläsning här [på TED] för två dagar sedan .	DEIX	R	EXTR
ted_en2sv_54954	"We &apos;ve seen lots of excitement from these people , who can now start a construction business , parts manufacturing , organic CSA or just selling power back to the grid ."	Vi har sett stort engagemang från dessa människor , som nu kan starta byggföretag , reservdelsproduktion , organisk CSA [( Community Supported Agriculture )] eller helt enkelt kan sälja tillbaka ström till kraftnätet .	ENT_ACR	A	POOL
ted_en2sv_54886	"He &apos;s [six foot four] . He &apos;s [160 pounds] ."	Han är [en och nittio] och [väger] [70 kilo] .	"MEAS_CONV; MEAS_DIM"	"R;A"	POOL
ted_en2sv_52019	"It &apos;s going to be [36 inches] in diameter ."	Den kommer ha en diameter på [90 cm] .	MEAS_CONV	R	POOL
ted_en2sv_51963	"It &apos;s about 50 feet wide and recedes about half a mile — row after row of cells that , inside , resemble Volta &apos;s battery , with three important differences ."	Verket är cirka [12 meter] brett ( 50 fot ) och sträcker sig ungefär 8 kilometer — rader efter rader av celler som , inuti , påminner om Voltas batteri , men med tre viktiga skillnader .	MEAS_CONV	A	POOL
ted_en2sv_5178	Take my hometown , London .	Som min hemstad , London , [till exempel] .	CLEAR	A	EXTR
ted_en2sv_51505	The first experiment — I walked around MIT and I distributed six-packs of [Cokes] in the refrigerators — these were common refrigerators for the undergrads .	Det första experimentet — Jag gick runt på MIT och placerade ut sexpack med [Coca-Cola] i kylskåpen — detta var gemensamma kylskåp för kandidatstudenter .	ENT_ACR	R	POOL
ted_en2sv_51410	"Let &apos;s take Germany again ."	Låt oss ta Tyskland [som exempel] igen .	CLEAR	A	EXTR
ted_en2sv_50242	In fact , if only the water ice at the poles on Mars melted , most of the planet would be under [30 feet] of water .	Faktum är , ifall bara vattenisen vid Mars poler smälte , skulle det mesta av planeten vara under [9 meter] vatten .	MEAS_CONV	R	EXTR
ted_en2sv_4979	"My circle began back in the &apos; 60s in [high school] in Stow , Ohio where I was the class queer ."	Min cirkel började under 60-talet i [högstadiet] i Stow , Ohio där jag var klassens fjolla .	SYS_CONV	R	POOL
ted_en2sv_48768	( Laughter ) And the porn industry is the fastest growing industry in [America] — 15 billion annually .	( Skratt ) Och porrindustrin är den snabbast växande branschen i [USA] - 15 miljarder per år .	ENT_REP	R	POOL
ted_en2sv_48242	And something very exciting is just beginning to happen in places like the University of Bristol in the [U.K.] , where we are beginning to be able to model mathematically dopamine levels in the brain .	Och något mycket spännande håller precis på hända på ställen som University of Bristol i [Storbritannien] , där vi har börjat kunna modellera nivåerna av dopamin i hjärnan på ett matematiskt sätt .	ENT_REP	R	EXTR
ted_en2sv_47739	"In fact , while we drove 140,000 miles , people didn &apos;t even notice ."	Faktum är att vi körde 140.000 miles [( 224.000 km )] , och folk lade inte ens märke till det .	MEAS_CONV	A	POOL
ted_en2sv_47733	"We &apos;ve driven 140,000 miles ."	Vi har kört 140.000 miles [( 224.000 km )] .	MEAS_CONV	A	POOL
ted_en2sv_47223	"It &apos;s being used by [NGOs] all over East Africa , small [NGOs] doing their own little projects ."	Den används av [ideella organisationer] över hela östafrika . Små [ideella organistationer] skapar sina egna små projekt .	ACR	R	EXTR
ted_en2sv_44743	They were sent all over [the States] , to work in Hawaii pineapple plantations , and Washington apple orchards , and anywhere the work was needed .	De skickades till olika delar av [USA] , till Hawaiis ananasodlingar , Washingtons äppelodlingar , och överallt där arbetskraft behövdes .	ENT_REP	R	EXTR
