ID	Source	Target	Type	Style	Dataset
ted_en2nl_100563	"He &apos;s [6 foot 9] ."	Hij is [meer dan twee meter] [lang] .	"MEAS_CONV; MEAS_DIM"	"R; A"	POOL
ted_en2nl_102101	I am a Ph.D. student and that means I have a question : how can we make digital content graspable ?	Ik ben een Ph.D. student [( AIO )] , en dat betekent dat ik een vraag heb : hoe kunnen we digitale inhoud begrijpelijk maken ?	SYS_CONV	A	POOL
ted_en2nl_104112	And then , this time last year , Obama announced that he was going to change his vote on FISA , The Foreign Intelligence Surveillance Act .	Vorig jaar rond deze tijd ... veranderde Obama van mening over de FISA ... De Foreign Intelligence Surveillance Act [( Wet op de bewaking van buitenlandse inlichtingen )] .	TRANS	A	EVAL
ted_en2nl_104622	"In fact , they lied about their height about nine tenths of an inch , what we say in the lab as &quot; &quot; strong rounding up . &quot; &quot; ( Laughter ) You get to [5 &apos; 8 &quot; &quot;] and one tenth , and boom ! [5 &apos; 9 &quot; &quot;] ."	"Ze maakten zichzelf ongeveer 9 / 10 inch [( 23 mm )] langer . Dat noemen we in het lab &apos; sterk naar boven afronden &apos; . ( Gelach ) Je zit een paar mm boven [1,73 m] en boem ! Dat wordt [1,75 m] ."	MEAS_CONV	"A;R"	EVAL
ted_en2nl_105399	But three years later , by 1908 , it weighed [40 pounds] .	Drie jaar later woog hij nog [18 kilo] .	MEAS_CONV	R	POOL
ted_en2nl_105859	It was just going [65] — to zero ?	Het ging van [100 km per uur] naar 0 ?	MEAS_CONV	"A; R"	POOL
ted_en2nl_105960	She was [five foot two] , very feisty and very English .	Ze was [1.55m] , erg pittig en erg Engels .	MEAS_CONV	R	POOL
ted_en2nl_106865	"And if that salmon &apos;s from Chile , and it &apos;s killed down there and then flown [5,000 miles] , whatever , dumping how much carbon into the atmosphere ?"	En als die zalm uit Chili komt , daar gedood wordt en dan [7000 kilometer] gevlogen , ofzoiets , wat enorm veel CO2 in de atmosfeer dumpt ?	MEAS_CONV	R	POOL
ted_en2nl_10746	And indeed it was a keystone species that enriched the entire eastern deciduous forest , from the Mississippi to the Atlantic , from Canada down to the Gulf .	Inderdaad was het een sleutelsoort . Hij verrijkte het hele oostelijke loofbos , van de Mississippi tot de Atlantische [oceaan] en van Canada tot aan de Golf [van Mexico].	"ENT_HYP; ENT_SPEC"	A	EVAL
ted_en2nl_107481	And I feel blessed and fortunate that 15 years ago I had the courage to resign my tenured position at [NYU] and return to my home country where I can do these incredible rides with this group of troubled kids coming from Ethiopia and Morocco and Russia . And I feel blessed and fortunate	Ik voel me gezegend en gelukkig dat ik 15 jaar geleden de moed had om af te treden van mijn vaste aanstelling aan de [New York Universiteit] en terug te keren naar mijn land waar ik deze ongelooflijke ritten kan maken met deze groep van problematische kinderen afkomstig uit Ethiopië , Marokko en Rusland . Ik voel me gezegend en gelukkig	ENT_ACR	R	POOL
ted_en2nl_109319	And one oyster can filter up to [50 gallons] of water a day .	Eén oester kan wel tot [190 liter] per dag filteren .	MEAS_CONV	R	POOL
ted_en2nl_111072	Based on this trial , in April of this year , the FDA approved Tumor Treating Fields for the treatment of patients with recurrent GBM .	Op basis van dit onderzoek keurde de FDA [( overheidsagentschap )] Tumor Treating Fields goed voor de behandeling van patiënten met terugkerende GBM .	ENT_DESC	A	POOL
