ID	Source	Target	Type	Style	Dataset
ted_en2he_93409	You should see small circles — these are called vesicles .	אתם אמורים לראות עיגולים קטנים . אלה נקראים וסיקולות ]( שלפוחיות . )[	ADD_INF	A	POOL
ted_en2he_87075	"You need a lot of trust , but it &apos;s not like , &quot; &quot; I &apos;m trying to get to Pensacola , please . &quot; &quot; So the Internet needs addressing and directions ."	"צריך הרבה אמון , אבל זה לא כמו , &quot; &quot; אני מבקש להגיע לפנסקולה ]( בפלורידה )[ בבקשה &quot; &quot; . אז האינטרנט צריך כתובות והוראות ."	ENT_SPEC	A	POOL
ted_en2he_184178	"You gotta say , &quot; &quot; What was great about lunch today ? &quot; &quot; They need to know they matter to us as humans , not because of their [GPA] ."	"אתם חייבים להגיד , &quot; &quot; מה היה טוב בארוחת הצהריים היום ? &quot; &quot; הם צריכים לדעת שאכפת לנו מהם כבני אדם , לא בגלל מ]מוצע הציונים[ שלהם ,"	SYS_CONV	R	POOL
ted_en2he_177186	you can go to the YouTube and find India Innovates and then you will find these videos .	אתם יכולים להיכנס ליוטיוב ולחפש India Innovates ]( חדשנות בהודו )[ , ואז תמצאו את הסרטונים האלו .	ENT_DESC	A	POOL
ted_en2he_177907	"Why is it , on the radio news every evening , I hear the [FTSE 100 , the Dow Jones] , the dollar pound ratio — I don &apos;t even know which way the dollar pound ratio should go to be good news ."	מדוע במהדורות החדשות בכל ערב ברדיו , אני שומע על ]מדדי המניות[ , שערי מטבע חוץ — אני אפילו לא יודע מדוע שערי מטבע החוץ הם חדשות טובות .	HYPER	R	POOL
ted_en2he_182542	"What I didn &apos;t know though , was most of those people , standing there with me , were Moonies ."	"אבל מה שלא ידעתי , היה שרוב האנשים האלה , שעומדים כאן איתי , היו &quot; &quot; מוניז &quot; &quot; ]( חברי כנסיית האיחוד )["	ADD_INF	A	POOL
ted_en2he_150436	We worked out a mechanism , which — NO was helping cells survive .	פיתחנו מנגנון , אשר - NO ]( תחמוצת חנקן )[ עזר לתאים לשרוד .	ACR	A	POOL
ted_en2he_177735	We spent 11 years getting [FAA] approval to do zero gravity flights .	לקחו לנו 11 שנים להשיג אישור מ]רשות התעופה[ לבצע טיסות ללא כבידה .	ENT_DESC	R	POOL
ted_en2he_98454	We participate in the Apps for Apes program Orangutan Outreach , and we use iPads to help stimulate and enrich the animals , and also help raise awareness for these critically endangered animals .	"אנחנו משתתפים ביישומים עבור תוכנית קופים &quot; &quot; אורנגוטן אאוטריץ &apos; &quot; &quot; ]( מתן סיוע לאורנגוטנים )[ , ואנחנו משתמשים ב-אייפד כדי לסייע להמריץ ולהעשיר את בעלי החיים , וגם לעזור לעורר את המודעות כלפי בעלי חיים אלה המצויים בסכנת הכחדה חמורה ."	ADD_INF	A	POOL
ted_en2he_74335	We found the Bismarck in [16,000 feet] . We then found the Yorktown .	מצאנו את הביסמארק בעומק של 4.8] קילומטרים[ . אז מצאנו את היורקטאון .	MEAS_CONV	R	POOL
ted_en2he_183049	We either saw the launches from our backyard or we saw it by driving in the hour over to the Cape .	צפינו בארועי השיגור או מהחצר האחורית שלנו או שצפינו בהם תוך כדי נסיעה לכף ]( קנאוורל )[ .	ENT_SPEC	A	POOL
ted_en2he_177881	"We don &apos;t have good data going back for every country in the world , but for some of the richest countries , the OECD group , we do ."	אין לנו מידע היסטורי טוב לכל מדינה בעולם , המידע קיים לכמה מהמדינות העשירות ביותר , קבוצת ה OECD ]( הארגון לשיתוף פעולה ולפיתוח כלכלי )[ .	ENT_ACR	A	POOL
ted_en2he_18430	We do our tests at [100,000 feet] .	"אנחנו מבצעים את המבחנים שלנו ב 30] ק &quot; &quot; מ[ ."	MEAS_CONV	R	POOL
ted_en2he_9381	We always hear that texting is a scourge .	"אנחנו תמיד שומעים ש &quot; &quot; סימוס &quot; &quot; ]( כתיבת מסרונים )[ היא מקור לפורענות"	ADD_INF	A	POOL
ted_en2he_180196	"We &apos;ve shared wine and food and other sorts of fabulous experiences in coffee bars in Amsterdam ."	שיתפנו אוכל ושתיה , שיתפנו חוויות נהדרות בקופי-שופס ]( בתי קפה למריחואנה )[ באמסטרדם .	ADD_INF	A	POOL
ted_en2he_87567	"We &apos;d been working in health and wellness , and [K through 12] , and the Developing World ."	עבדנו ברפואה וריפוי , ]וגן ילדים עד תיכון[ , והעולם המפותח .	SYS_DESC	R	POOL
ted_en2he_179101	"This is on a log scale , and that &apos;s what superexponential growth means ."	זה על ציר לוגריתמי , וזו המשמעות של גידול על-מעריכי ]( סופר-אקספוננציאלי )[ .	TRANS	A	POOL
ted_en2he_147215	"This is more than 10,000 feet higher than the previous world &apos;s altitude record held by the SR-71 Blackbird ."	זה יותר מ- 3,048 מטרים יותר מהשיא הקודם שנקבע על ידי SR-71 Blackbird ]( הציפור השחורה )[ .	TRANS	A	POOL
ted_en2he_22788	This is known as transitivity in networks .	זה ידוע כטרנזיטיביות ]( יחס עובר )[ ברשתות .	ADD_INF	A	POOL
ted_en2he_99457	This is at [17,000 feet] .	זה בגובה 5200] מטר[ .	MEAS_CONV	R	POOL
ted_en2he_142569	"This is an assessment by the Central Intelligence Agency of the percentage of time that the model I &apos;m talking about is right in predicting things whose outcome is not yet known , when the experts who provided the data inputs got it wrong ."	זוהי הערכה של סוכנות הביון המרכזית ]( CIA )[ לאחוז המקרים שבהם המודל שעליו אני מדבר צודק בחזיית דברים שהתוצאה שלהם עדיין לא ידועה , כאשר המומחים שסיפקו את הנתונים טעו ב-90 % מהמקרים .	ENT_ACR	A	POOL
ted_en2he_94318	"This is a tunnel that &apos;s abandoned in Hell &apos;s Kitchen ."	"זו מנהרה שננטשה בהל &apos; ס קיטשן ]( שכונה בברוקלין )[ ."	ENT_DESC	A	POOL
ted_en2he_96458	This is a robot , Autom .	"זהו הרובוט &quot; &quot; אוטום &quot; &quot; ]( סתיו )["	TRANS	A	POOL
ted_en2he_104589	This is a partnership between MIT and a group of companies — Google is involved , Red Hat — and AMD is a key player .	זהו שיתוף פעולה בין MIT וקבוצה של חברות — גוגל מעורבת , רד הט ]( הפצת לינוקס )[ — וAMD היא שחקן מפתח .	ENT_DESC	A	POOL
ted_en2he_98253	They think of them as the annoying , frustrating obstructions , and then they rush off and do some blue-sky thinking .	הם חושבים עליהם כעל מכשולים מעצבנים ומתישים , ואז הם ממהרים ועושים קצת חשיבה בהירה ( ]באנגלית[ : ]חשיבת שמיים כחולים[ )	"LING_EXPL; TRANS"	"A; A"	POOL
ted_en2he_93410	They contain a molecule know as a neurotransmitter .	הן מכילות מולקולה הנקראת נוירוטרנסמיטר ]( מוליך עצבי )[	ADD_INF	A	POOL
ted_en2he_140026	"They &apos;re only between [13 and 14,000 feet] , but if you go in the warm part of the year , it &apos;s O.K."	"הם נמצאים רק בגובה 4000-4300] מ &apos;[ , אבל אם מגיעים בתקופה החמה של השנה , זה בסדר ."	MEAS_CONV	R	POOL
ted_en2he_94502	There is about [1,000 feet] of air below him .	יש כ-300] מטר[ של אוויר מתחתיו .	MEAS_CONV	R	POOL
