ID	Source	Target	Type	Style	Dataset
eur_en2de_dir_1327	Mr President , as you know I currently chair Parliament 's delegation for the United States of America and I should like to raise a point of order under Parliament 's rules concerning parliamentary delegations . It has come to my attention that a group of parliamentarians from the [EPP] Group visited the USA in July . Normally I would regard this as a private matter and not my concern . However , in the programme connected with this visit the group is described as a delegation and in particular Mr Goodwill , [MEP] , is described as leader of the delegation . I can make this programme available to you .	Herr Präsident ! Wie Sie wissen , bin ich Vorsitzende der Delegation des Parlaments für [die Beziehungen zu] den Vereinigten Staaten von Amerika . Ich habe eine Bemerkung zur Anwendung der Geschäftsordnung in Bezug auf Delegationen des Parlaments . Ich habe Kenntnis davon erhalten , dass eine Gruppe Abgeordneter der [PPE-DE] im Juli die USA besuchte . Normalerweise würde ich das als Privatangelegenheit betrachten , die mich nichts angeht . Im Programm des Besuchs wird die Gruppe jedoch als Delegation und Herr Goodwill , [Mitglied des Europäischen Parlaments] , als ihr Leiter bezeichnet . Ich kann Ihnen dieses Programm gern zur Verfügung stellen .	"ENT_SPEC; HYPO_SPEC; ACR"	"R; A"	EXTR
eur_en2de_dir_1328	This puts the whole visit in an entirely different context . There was a formal delegation which I chaired from Parliament to the USA in June and there is an understandable confusion when another group of [MEPs] some three weeks later arrive in the USA , to all intents and purposes also a European Parliament delegation . I have reports that the comments of these parliamentarians were from the [wilder shores] of the [EPP] Group and were notable for their anti-European content .	Das stellt den gesamten Besuch in ein völlig anderes Licht . Im Juni reiste eine offizielle Delegation des Parlaments unter meiner Leitung in die USA , und es muss natürlich irritieren , wenn drei Wochen später eine weitere Gruppe von [Mitgliedern des Europäischen Parlaments] in den USA eintrifft , bei der es sich allem Anschein nach ebenfalls um eine Delegation des Europäischen Parlaments handelt . Ich habe erfahren , dass die Kommentare dieser Abgeordneten [die Meinung] des [radikaleren Flügels] der [PPE-DE] widerspiegelten und durch ihre antieuropäische Ausrichtung auffielen .	"ENT_SPEC; SYS_CONV; ACR; HYPO_SPEC"	"R; A"	EXTR
eur_en2de_dir_212	There is one point that I voted against in the roll-call votes , in relation to the [US] missile defence system . I feel the point was not [made] strongly enough . It seemed to accept the missile defence system . Just asking to be kept informed about [it] is not enough . We should not go along with the US missile defence system . We should oppose it at every opportunity rather than saying : just keep us informed about it .	Bei der namentlichen Abstimmung habe ich gegen einen Punkt gestimmt , bei dem es um das [amerikanische] Raketenabwehrsystem geht , weil dieser Punkt meines Erachtens nicht deutlich genug [formuliert] wurde . Es entsteht der Eindruck , als würde das Raketenabwehrsystem akzeptiert . Die Forderung , über [die Entwicklung dieses Systems] auf dem Laufenden gehalten zu werden , reicht nicht aus . Wir sollten [der Einrichtung] eines Raketenabwehrsystems der USA nicht zustimmen . Bei jeder sich nur bietenden Gelegenheit sollten wir unsere Ablehnung zur Ausdruck bringen und nicht nur [lapidar] sagen , dass wir darüber auf dem Laufenden gehalten werden möchten .	"ENT_REP; HYPO_SPEC; CLEAR"	"R; A"	EXTR
eur_en2de_dir_12374	I welcome the adoption by the European Parliament of the report by German [Socialist] [MEP] Dagmar Roth-Berendt , which calls for a ban on the testing of animals and the introduction of proper labelling so that consumers can make an informed choice .	Ich begrüße die Annahme des Berichts der deutschen [Abgeordneten] der [Fraktion der] [Sozialdemokratischen Partei Europas] , [Frau] Dagmar Roth-Berendt , in dem ein Verbot der Tierversuche sowie die Einführung einer ordnungsgemäßen Kennzeichnung gefordert werden , die dem Verbraucher eine bewusste Entscheidung ermöglicht .	"ENT_HYP; ENT_ACR; OTHER"	"R; A"	EXTR
eur_en2de_dir_22274	The Greenland agreement is different . It falls in the [geographical zone] of three international fisheries organisations : the International Council for the Exploration of the Sea , the North West Atlantic Fisheries Organisation , and the North East Atlantic Fisheries [Commission] . These are among the most scientific regional bodies that exist . There is therefore scientific information on the status of the stocks being fished and we note with approval that the overall quantities to be fished have been reduced dramatically and are more in line with responsible fishing opportunities . Both NAFO and NEAFC also have among the best and most comprehensive programmes for control and surveillance . For that reason , this time we will support the agreement . We will also support the amendment by the [Liberals] on the Commission recovering the costs of the agreement from the ship-owners who benefit from it . This is an extremely important principle , which should be followed .	Das Grönland-Abkommen ist etwas anderes . Es fällt in die [geografische Zuständigkeit] von drei internationalen Fischereiorganisationen , und zwar sind das der Internationale Rat für Meeresforschung , die Organisation für die Fischerei im Nordwestatlantik [( NAFO )] und die [Organisation] für die Fischerei im Nordostatlantik [( NEAFC )] . Diese Organisationen zählen zu den am meisten wissenschaftlich ausgerichteten Regionalgremien überhaupt . Das heißt , es liegen wissenschaftliche Informationen über den Zustand der fischbaren Bestände vor , und wir stellen anerkennend fest , dass die zulässigen Gesamtfangmengen drastisch gesenkt wurden und damit verantwortungsvollen Fangmöglichkeiten näher kommen . Sowohl die NAFO als auch die NEAFC verfügen zudem über die besten und umfassendsten Programme zur Kontrolle und Überwachung . Deshalb werden wir das Abkommen diesmal befürworten . Wir unterstützen außerdem den Änderungsantrag der [Fraktion der] [Liberalen und Demokratischen Partei Europas] in Bezug auf die Kostenbeteiligung von Reedern , die von dem Abkommen profitieren . Das ist ein äußerst wichtiger Grundsatz , der berücksichtigt werden sollte .	"HYPO_SPEC; ENT_ACR; ENT_DESC; ENT_HYP; ENT_ACR"	"R; A"	EXTR
eur_en2de_dir_11430	I came to vote today with my colleagues in the [ELDR] . I departed only once from that list : to show support for what was available . Tomorrow , when we vote in the light of a Commission opinion , I would make the strongest appeal to Members of this House to give the largest possible consensus . I understand that many people have deep reservations about aspects of what this final statute may contain . However , I and the rapporteur will need to go to other institutions , and we have to go fortified by the weight of this House . We can go with a 'yes ' or we can go with a 'no ' , but there is no debate on the basis of 'yes , but … ' .	Ich bin mit der Absicht hierher gekommen , um gemeinsam mit meinen Kollegen in der [Fraktion der] [Liberalen und Demokratischen Partei Europas] abzustimmen . Ich bin von dieser Liste nur einmal abgewichen , und zwar um Unterstützung für das Vorliegende zu bekunden . Ich fordere die Abgeordneten dieses Hauses nachdrücklichst auf , bei der morgigen Abstimmung auf der Grundlage der Stellungnahme der Kommission einen größtmöglichen Konsens anzustreben . Ich weiß , dass viele Kollegen ernste Bedenken bezüglich der Regelungen des endgültigen Statuts hegen . Der Berichterstatter und ich müssen uns jedoch an andere Institutionen wenden , und dazu benötigen wir den Rückhalt dieses Hauses . Wir können mit einem „ Ja “ oder mit einem „ Nein “ in die Diskussionen gehen , aber ein „ Ja , aber … “ bildet keine Diskussionsgrundlage .	"ENT_HYP; ENT_ACR"	"R; A"	EXTR
eur_en2de_dir_11919	As we have seen in other countries such as Zimbabwe , quiet diplomacy does not work . Neighbouring ASEAN countries need to do more to bring about change in Burma . I call on the Council presidency and the Commission to take urgent action , to visit Aung San Suu Kyi , to bring about her immediate release and , in case the [SPDC] does not respond in a positive way , to draw up new measures that can quickly be taken against the Burmese regime .	Wie wir in anderen Ländern , beispielsweise in Simbabwe , gesehen haben , funktioniert die stille Diplomatie nicht . Die benachbarten ASEAN-Länder müssen mehr tun , um einen Wandel in Birma herbeizuführen . Ich rufe den Ratsvorsitz und die Kommission auf , dringend etwas zu unternehmen , Aung San Suu Kyi zu besuchen , ihre unverzügliche Freilassung zu erreichen und , sofern der [Staatsrat für Frieden und Entwicklung] nicht positiv darauf reagiert , neue Maßnahmen zu entwickeln , die rasch gegen das birmanische Regime ergriffen werden können .	ENT_ACR	R	EXTR
eur_en2de_dir_2304	Finally it is unjustifiable that [LDCs] should live up to EU production standards . This constitutes a hidden trade barrier .	Es ist nicht gerechtfertigt , die [am wenigsten entwickelten Länder] mit der Einhaltung von EU-Produktionsnormen zu beauflagen . Das stellt ein verstecktes Handelshemmnis dar .	ACR	R	EXTR
eur_en2de_dir_4	I am afraid the [UK] experience has in fact been largely negative on all these counts . We support the Spanish Government and security forces in their tough stance against ETA terrorism and express solidarity with the Spanish people and in particular , those that have suffered directly as victims of terrorism .	Ich fürchte , die [britische] Erfahrung war in allen diesen Punkten überwiegend negativ . Wir unterstützen die spanische Regierung und die Sicherheitskräfte in ihrer festen Haltung gegen den ETA-Terrorismus und bringen unsere Solidarität mit dem spanischen Volk und insbesondere mit jenen , die als Opfer des Terrorismus unmittelbar zu leiden hatten , zum Ausdruck .	ENT_REP	R	EXTR
eur_en2de_dir_5847	Secondly , in terms of external policy , particularly in terms of Kosovo , the hearing we organised a few days ago with the Committee on Foreign Affairs and the Committee on Budgets , was very revealing to me , in particular the fact that this is not a short-term commitment . We had evidence from Mr Bildt , Mr Kouchner , Mr Hombach and then from all the other agencies , that this is a long-term problem we have in front of us . We must , therefore , make sure not only that we get proper coherence between the agencies working on the ground but also Madam President-of-the Council , that we do not take decisions which mean that we are spending money futilely because of a Council decision that we must have some people removed some [100 miles] away in another place . We must make sure that when we come to Mrs Pack ’ s report later this week we take the right decisions and that the Council understands Parliament ’ s feelings on that .	Was zweitens die Außenpolitik und insbesondere die Kosovo-Frage betrifft , so war die Anhörung , die wir vor einigen Tagen mit dem Ausschuß für auswärtige Angelegenheiten und dem Haushaltsausschuß organisiert haben , für mich vor allem dahingehend sehr aufschlußreich , als es sich hier nicht um eine kurzfristige Verpflichtung handelt . Nach dem , was wir von Herrn Bildt , Herrn Kouchner , Herrn Hombach und auch von all den anderen Agenturen gehört haben , geht es hier um ein langfristiges Problem . Wir müssen deshalb nicht nur für eine angemessene Kohärenz zwischen den Agenturen vor Ort Sorge tragen , sondern , Frau Ratspräsidentin , auch dafür , daß wir keine Entscheidungen treffen , die einer Mittelvergeudung gleichkommen , weil wir aufgrund einer Entscheidung des Rates einige Leute [Hunderte von Kilometern] zu einer anderen Stelle versetzen müssen . Wenn wir in dieser Woche den Bericht von Frau Pack diskutieren , müssen wir sicherstellen , daß wir die richtigen Entscheidungen treffen und der Rat die Vorstellungen des Parlaments dazu nachvollziehen kann .	MEAS_CONV	R	EXTR
