ID	Source	Target	Type	Style	Dataset
ted_en2fa_99519	There was a huge pit or shaft called a moulin going 130 feet straight up to the surface of the glacier .	آن ‌ جا حفره یا چاه بزرگی وجود داشت که آسیاب نامیده می ‌ شود و ]حدود ۴۰ متر[ پایین ‌ تر از از سطح یخ ‌ رود بود .	MEAS_CONV	A	POOL
ted_en2fa_99306	And within one year , by 1915 , there were 50,000 rides per day in Seattle , 45,000 rides per day in Kansas and 150,000 rides per day in Los Angeles .	و در یک سال در سال ۱۹۱۵ در سیاتل ۵۰ ٫ ۰۰۰ جابجایی در روز انجام می ‌ شد ۴۵ ٫ ۰۰۰ هزار جابجای در ]ایالت[ کانزاس و ۱۵۰ ٫ ۰۰۰ جابجابی در لس آنجلس	ENT_HYP	A	POOL
ted_en2fa_98721	So people , for instance , just to gross you out for a second , had cesspools of human waste in their basement . Like , a foot to two feet deep .	پس مردم ، مثلاً ، فقط برای اینکه یک ثانیه حالتون را بهم بزنم ، چاه ‌ های فاضلاب پس ‌ ماند انسانی در زیر زمینشان داشتند . مثلاً با عمق یک یا دو پا ]( ۶۰ سانتیمتر )[ .	MEAS_CONV	A	POOL
ted_en2fa_9689	Moments later , I had a surgery date just weeks away , and a big fat prescription for Percocet .	چند لحظه بعد ، من وقت جراحی را برای چند هفته بعد گرفتم ، و یک نسخه بلند بالا برای داروی Percocet ]( مُسَکن درد )[ .	ENT_DESC	A	POOL
ted_en2fa_96198	NINJA is an acronym that stands for Narrativas Independentes Jornalismo e Ação , or in English , independent narratives , journalism , and action .	"&quot; &quot; نینجا &quot; &quot; یک مخفف است که از نام های &quot; &quot; گوینده های مستقل ، روزنامه نگار و حرکت &quot; &quot; گرفته شده است ، ]( به زبان پرتقالی )[ که در انگلیسی &quot; &quot; گوینده های مستقل ، روزنامه نگار و حرکت &quot; &quot;"	LING_EXPL	A	POOL
ted_en2fa_94004	"I came to London , and I &apos;ve seen performance by Cirque du Soleil ."	آمدم به لندن و اجرای سیرک آفتاب ]( Cirque du Soleil )[ را تماشا کردم .	TRANS	A	POOL
ted_en2fa_93310	"So we &apos;ve got , what , 17 more years to go or so before China &apos;s bigger ."	خوب ، ما چه داریم ، ۱۷ سال دیگر تا رسیدن چین به بزرگترین ]( اقتصاد )[ .	CLEAR	A	POOL
ted_en2fa_91797	"And I &apos;ve found a very useful new word , ignostic . Okay ?"	من یک کلمه ‌ ی خیلی کارآمد پیدا کرده ‌ ام ٬ ایگناستیک ]( فیلسوف در پی شناخت خدا )[ .	ADD_INF	A	POOL
ted_en2fa_9031	"And now the issue of Brexit doesn &apos;t make it any easier ."	و حالا ]خروج بریتانیا از اتحادیه اروپا[ ( Brexit ) این مسئله رو ساده تر نمی ‌ کنه .	ENT_DESC	A	POOL
ted_en2fa_89767	This is Vivienne Westwood . No !	اين ويوين وستوود [( طراح لبس مشهور انگلیسی )[ است . نه !	ENT_DESC	A	POOL
ted_en2fa_88975	I live in Washington , D.C. , but I grew up in Sindhekela , a village in Orissa , in India .	من در واشنگتن زندگی می ‌ کنم ، اما در روستایی در هند به نام سیندهِکِلا ، در ]ایالت[ اریسا بزرگ شدم .	ENT_HYP	A	POOL
ted_en2fa_88453	"And if the title &quot; &quot; Searching for Armillaria Death Rings , &quot; &quot; sounds ominous , it is ."	"واگرعنوان آن &quot; &quot; جستجو برای حلقه های مرگ آرمیلاری ]( نوعی قارج )[ &quot; &quot; به نظر بدشگون به نظر می آیند ، همین اینطوره ."	ADD_INF	A	POOL
ted_en2fa_87918	NASA has devoted money to this .	ناسا ]( سازمان هوافضای آمریکا )[ پول وقف این موضوع کرده .	ENT_DESC	A	POOL
ted_en2fa_87435	"Let &apos;s take a look at Winnipeg . How many of you , in the last 24 hours — think back — have told a little fib , or a big one ? How many have told a little lie out there ?"	بیایید شهر وینیپگ ]( دراستان مانیتوبا )[ را در نظر بگیریم . چندتا از شما ، در ۲۴ ساعت گذشته — درست فکر کنید — یک دروغ کوچک ، یا بزرگ گفته اید ؟ چند نفر در جامعه دروغ گفته اند ؟	ENT_SPEC	A	POOL
