ID	Source	Target	Type	Style	Dataset
ted_en2pt_10013	"And it &apos;s live . It &apos;s not an image . So you click on it , you zoom in , right down to street view if you want to ."	E é interativo . Não é uma imagem . Então podem clicar , aumentar o zoom , até ao nível de vista de rua [( street view )] se quiserem .	TRANS	A	POOL
ted_en2pt_10140	The largest is about four tons and [12 feet] across .	A maior pesa cerca de quatro toneladas e tem [36 cm] de diâmetro .	MEAS_CONV	R	POOL
ted_en2pt_10762	There used to be a time in [American] history when voting was fun , when it was much more than just a grim duty to show up at the polls .	Na história dos [EUA] , houve uma altura em que votar era divertido e comparecer nas mesas de voto não era apenas um dever penoso .	ENT_REP	R	POOL
ted_en2pt_10775	You might ask , well , here in [America] , who has time for this ?	"Podem perguntar : &quot; &quot; Nos [EUA] , quem tem tempo para isso ? &quot; &quot;"	ENT_REP	R	EXTR
ted_en2pt_10826	Imagine if all of the followers of Donald Trump and Bernie Sanders had decided not to upend the political status quo and blow apart the frame of the previously possible in American politics .	Imaginem se todos os seguidores de Donald Trump e Bernie Sanders tivessem decidido não derrubar o cenário político atual e destruir a moldura daquilo que até agora não era possível na política [norte]-americana .	ENT_SPEC	A	POOL
ted_en2pt_11128	"You say , whoo ! So I heard about that in &apos; 75 when I was at the [Ed School] at Harvard ."	E dizemos : Uau ! Soube disso em 1975 quando estava na [Escola Superior de Educação] em Harvard .	SYS_CONV	R	EXTR
ted_en2pt_11148	How many places in [America] are going to change ? None .	Quantos lugares nos [E.U.A.] vão mudar ? Nenhum .	ENT_REP	R	POOL
ted_en2pt_11251	Last I heard we had 93 percent accepted to [college] .	Da última vez que ouvi 93 % foi aceite na [Universidade] .	SYS_CONV	R	EXTR
ted_en2pt_11557	"It &apos;s the primary Harvard [Medical School] [teaching facility] ."	É o principal [hospital universitário] da [Faculdade de Medicina] de Harvard .	"HYPO_SPEC; SYS_CONV"	"R; R"	POOL
ted_en2pt_11667	At the Archivio di Stato , you have 80 kilometers of archives documenting every aspect of the life of Venice over more than 1,000 years .	No Arquivo do Estado [( Archivio di Stato )] há 80 kilómetros de arquivos a documentar todos os aspectos da vida de Veneza por mais de 1000 anos .	TRANS	A	EXTR
ted_en2pt_11984	This was in the 90s during the peak of the HIV epidemic , before there were any ARVs in Sub-Saharan Africa .	Isto foi nos anos 90 durante o pico da epidemia de VIH , antes de existirem fármacos anti-retrovirais [( ARVs )] na África subsariana .	ACR	A	POOL
ted_en2pt_13007	In those days , I had discovered a website called Joogle .	"Nessa altura , tinha descoberto um &quot; &quot; site &quot; &quot; chamado Joogle [&#91; Google &#93;]"	OTHER	A	POOL
ted_en2pt_13584	And every evening , they fly [150 miles] back .	"&quot; &quot; E ao anoitecer , voam [240 km] de volta ."	MEAS_CONV	R	POOL
ted_en2pt_13725	Stasi was the secret police in [East Germany] .	A Stasi era a polícia secreta na [República Democrática Alemã] .	ENT_REP	R	EXTR
ted_en2pt_13806	My rough calculation is it would be about [25 miles] thick .	Calculo que teria a grossura de [40 Kms] .	MEAS_CONV	R	POOL
ted_en2pt_13818	All of a sudden , a very large percentage of the traffic on the whole Internet , including a lot of the traffic between [U.S.] military installations , started getting re-routed through China .	De repente , uma percentagem muito grande de tráfego na Internet , incluindo muito de tráfego entre as instalações militares [norte-americanas] , foi redirecionado via China .	ENT_REP	R	POOL
ted_en2pt_15421	"And although we don &apos;t yet have an Arab Kinsey Report to tell us exactly what &apos;s happening inside bedrooms across the Arab region , It &apos;s pretty clear that something is not right ."	"E embora ainda não tenhamos um relatório Kinsey árabe [&#91; sobre o sexo &#93;] que nos diga , exatamente , o que se passa dentro dos quartos na região árabe , é bastante óbvio que algo não bate certo ."	ADD_INF	A	POOL
ted_en2pt_15446	In these , as in so many other matters , Islam offers us at least 50 shades of gray .	"Nestes , como em tantos outros assuntos , o Islão oferece-nos pelo menos 50 sombras de cinzento [( &quot; &quot; grey &quot; &quot; / Gray )] ."	TRANS, LING_EXPL	A	POOL
ted_en2pt_15546	And in fact , this car has driven over [a million miles] without any accidents on regular roads .	Este carro conduziu mais de [um milhão de quilómetros] em estradas normais , sem qualquer acidente .	MEAS_CONV	R	POOL
ted_en2pt_15744	EEG measurements typically involve a hairnet with an array of sensors , like the one that you can see here in the photo .	As medições de EEG [( Eletroencefalografia )] envolvem tipicamente uma rede com uma série de sensores como a que podem ver aqui na foto .	ACR	A	POOL
ted_en2pt_15804	I got up this morning at [6 : 10 a.m.]	Hoje levantei-me às [06h10 da manhã]	MEAS_CONV	R	POOL
