ID	Source	Target	Type	Style	Dataset
ted_en2el_20230	Or if you take Eglantyne Jebb , the woman who created Save the Children 90 years ago .	"Η αν πάρετε την περίπτωση της Έγκλαντυν Τζεμπ , της γυναίκας που δημιούργησε το Save the Children [( &quot; &quot; Σώστε τα παιδιά &quot; &quot; )] πριν από 90 χρόνια ."	TRANS	A	EXTR
ted_en2el_106266	"We have various strategies — there &apos;s the Methuselah Mouse Prize , which is basically an incentive to innovate , and to do what you think is going to work , and you get money for it if you win ."	"Έχουμε διάφορες στρατηγικές — υπάρχει το Βραβείο &apos; &apos; Methuselah Mouse &apos; &apos; , [&#91; Ποντίκι Μαθουσάλας &#93;] που είναι βασικά ένα κίνητρο για πρωτοπορία και για να κάνετε αυτό που νομίζετε ότι θα δουλέψει και μπορείτε να πάρετε χρήματα για αυτό αν κερδίσετε ."	TRANS	A	EXTR
ted_en2el_3004	The kids who resisted scored 250 points higher on the SAT .	Τα παιδιά που είχαν αντισταθεί πέτυχαν σκορ 250 μονάδων περισσότερο στο τεστ SAT [( εξετάσεις για εισαγωγή σε Αμερικανικά πανεπιστήμια . )]	SYS_DESC	A	EXTR
ted_en2el_138795	Instead , I stand here a proud graduate of Middlebury [College] .	"Αντ &apos; αυτού είμαι εδώ , μία περήφανη απόφοιτος του [πανεπιστημίου] του Μίντλμπερι ."	SYS_CONV	R	EXTR
ted_en2el_102065	She was a [grad student] in the library sciences department .	Αυτή ήταν [μεταπτυχιακή] φοιτήτρια βιβλιοθηκονομίας .	SYS_CONV	R	POOL
ted_en2el_130617	"You can think of this as the language of thought , or &quot; &quot; [mentalese] . &quot; &quot; It seems to be based on a fixed set of concepts , which govern dozens of constructions and thousands of verbs — not only in English , but in all other languages — fundamental concepts such as space , time , causation and human intention , such as , what is the means and what is the ends ?"	"Μπορείτε να εκλάβετε αυτό το μηχανισμό ως τη γλώσσα της σκέψης ή αλλιώς &quot; &quot; [Γλώσσα της Νόησης] &quot; &quot; [&#91; μία υποθετική γλώσσα όπου οι έννοιες και οι προτάσεις αναπαριστάνονται στο νου χωρίς λέξεις &#93;] . Φαίνεται να βασίζεται σε ένα πάγιο σύνολο εννοιών το οποίο ελέγχει ένα πλήθος συντάξεων και εκατοντάδες ρημάτων — όχι μόνο στην Αγγλική γλώσσα αλλά και σε όλες τις άλλες γλώσσες — θεμελιώδεις έννοιες όπως ο χώρος , ο χρόνος , η αιτιότητα και η ανθρώπινη πρόθεση — όπως , ποια είναι τα μέσα και ποιοι είναι οι σκοποί ;"	"OTHER; ADD_INF"	"A; R"	POOL
ted_en2el_119448	And they estimated that in 2008 , Kenya had per child mortality of 128 .	"Και υπολόγισαν ότι , το 2008 , η Κένυα είχε παιδική θνησιμότητα 128 [&#91; στα χίλια παιδιά &#93;] ."	MEAS_SPEC	A	EXTR
ted_en2el_88403	TED is 30 .	Το TED είναι 30 [ετών] .	MEAS_DIM	A	EXTR
ted_en2el_103827	"If you &apos;re at all like me , this is what you do with the sunny summer weekends in San Francisco : you build experimental kite-powered hydrofoils capable of more than 30 knots ."	"Αν όλοι ήσασταν σαν εμένα , αυτό θα κάνατε τα ηλιόλουστα καλοκαιρινά σαββατοκύριακα στο San Francisco : κατασκευάζετε πειραματικά αετοκινούμενα υδροπτέρυγα ικανά για [&#91; ταχύτητες &#93;] πάνω από 30 κόμβους ."	MEAS_DIM	A	EXTR
ted_en2el_129284	His core temperature had dropped to [77 degrees] .	H θερμοκρασία του σώματός του είχε πέσει στους [25 βαθμούς] [Κελσίου] .	"MEAS_CONV; MEAS_SPEC"	"R; A"	EXTR
