ID	Source	Target	Type	Style	Dataset
ted_en2th_97640	"This is one of my favorite features , this flyover where you &apos;re eight feet off the surface of the High Line , running through a canopy of trees ."	นี ่ เป ็ นหนึ ่ งในสิ ่ งที ่ ผมชอบเป ็ นพิเศษ ทางเดินลอยฟ ้ ายกสูงขึ ้ นไป 8 ฟุต [( 2.4 เมตร )] จากระดับพื ้ นของทางยกระดับ พาดผ ่ านสุมทุมพุ ่ มไม ้	MEAS_CONV	A	POOL
ted_en2th_97621	So we said over a 20-year time period , the value to the city in increased property values and increased taxes would be about 250 million .	ฉะนั ้ น เราจึงดูกันที ่ ระยะ 20 ปี มูลค ่ าที ่ จะสร ้ างแก ่ เมืองนี ้ ในการเพิ ่ มมูลค ่ าแก ่ อสังหาริมทรัพย ์ และทำให ้ รายได ้ จากภาษีเพิ ่ มสูงขึ ้ น จะมีมูลค ่ าประมาณ 250 ล ้ านดอลลาร ์ [( 7.6 พันล ้ านบาท )]	MEAS_CONV	A	POOL
ted_en2th_97597	They built it 30 ft. in the air , right through the middle of the city .	พวกเขาสร ้ างสูงขึ ้ นไป 30 ฟุต [( 9 เมตร )] ผ ่ ากลางเมืองเลยครับ	MEAS_CONV	A	POOL
ted_en2th_9597	"He &apos;s showing up to L.A. , tail between his legs ."	เขามาที ่ ลอสแอนเจลิส [( Los Angeles )] คอตกหดหู ่	TRANS	A	POOL
ted_en2th_95074	"I &apos;m six foot one , and fat ."	ส ่ วนผม[สูง] 6 ฟุต 1 [นิ ้ ว] [( 182.5 cm )] และอ ้ วน	"MEAS_CONV; MEAS_SPEC; MEAS_DIM"	A	POOL
ted_en2th_95072	"He &apos;s six foot four . He &apos;s 160 pounds ."	เขา[สูง] 6 ฟุต 4 นิ ้ ว [( 190 เซนติเมตร )] , หนัก 160 ปอนด ์ [( 72.5 กิโลกรัม )]	"MEAS_CONV; MEAS_DIM"	A	POOL
ted_en2th_95044	The one after that , I stood on top of a hundred-foot pillar for 36 hours .	ถัดจากนั ้ น , ผมก ็ ยืนบนเสาสูงถึง 100 ฟุต [( ประมาณ 33 เมตร )] เป ็ นเวลา 36 ชม	MEAS_CONV	A	POOL
ted_en2th_94825	We need to strengthen K-12 .	เราจำเป ็ นต ้ องทำให ้ การ[ศึกษาระดับ] K-12 เข ้ มข ้ นขึ ้ น	HYPER	A	POOL
ted_en2th_94050	"&quot; We learned it in [college] . &quot;"	"&quot; เราเรียนมาจาก[มหาวิทยาลัย] &quot;"	SYS_CONV	R	POOL
ted_en2th_92968	"My daughter &apos;s 20 . She &apos;s a [college] student ."	ลูกสาวชั ้ นอายุ 20 ตอนนี ้ เธอเป ็ นนักศึกษา[มหาวิทยาลัย]	SYS_CONV	R	POOL
ted_en2th_88934	These carriers of the weak force , the Zs , the same .	พวกนี ้ เป ็ นตัวที ่ มีแรงอย ่ างอ ่ อน พวก Z [( โบซอนอีกแบบ )] ก ็ เช ่ นกัน	ADD_INF	A	POOL
ted_en2th_88555	"That &apos;s why investments by Gates Foundation , UNICEF and aid organizations , together with national government in the poorest countries , are so good ; because they are actually helping us to reach a sustainable population size of the world ."	นั ่ นก ็ คือเหตุผลว ่ าทำไมการลงทุน [( ทางสุขภาพ )] ของมูลนิธิเกตส ์ ยูนิเซฟ และองค ์ กรช ่ วยเหลือต ่ าง ๆ ร ่ วมกับรัฐบาลในประเทศที ่ ยากจนที ่ สุด ถึงเป ็ นการลงทุนที ่ ดีเหลือเกิน นั ่ นก ็ เพราะว ่ าพวกเขา กำลังช ่ วยเราให ้ เข ้ าสู ่ ขนาดของประชากรที ่ ยั ่ งยืนของโลก	CLEAR	A	POOL
