ID	Source	Target	Type	Style	Dataset
ted_en2th_97640	"This is one of my favorite features , this flyover where you &apos;re eight feet off the surface of the High Line , running through a canopy of trees ."	นี ่ เป ็ นหนึ ่ งในสิ ่ งที ่ ผมชอบเป ็ นพิเศษ ทางเดินลอยฟ ้ ายกสูงขึ ้ นไป 8 ฟุต [( 2.4 เมตร )] จากระดับพื ้ นของทางยกระดับ พาดผ ่ านสุมทุมพุ ่ มไม ้	MEAS_CONV	A	POOL
ted_en2th_97621	So we said over a 20-year time period , the value to the city in increased property values and increased taxes would be about 250 million .	ฉะนั ้ น เราจึงดูกันที ่ ระยะ 20 ปี มูลค ่ าที ่ จะสร ้ างแก ่ เมืองนี ้ ในการเพิ ่ มมูลค ่ าแก ่ อสังหาริมทรัพย ์ และทำให ้ รายได ้ จากภาษีเพิ ่ มสูงขึ ้ น จะมีมูลค ่ าประมาณ 250 ล ้ านดอลลาร ์ [( 7.6 พันล ้ านบาท )]	MEAS_CONV	A	POOL
ted_en2th_97597	They built it 30 ft. in the air , right through the middle of the city .	พวกเขาสร ้ างสูงขึ ้ นไป 30 ฟุต [( 9 เมตร )] ผ ่ ากลางเมืองเลยครับ	MEAS_CONV	A	POOL
ted_en2th_9597	"He &apos;s showing up to L.A. , tail between his legs ."	เขามาที ่ ลอสแอนเจลิส [( Los Angeles )] คอตกหดหู ่	TRANS	A	POOL
ted_en2th_95075	( Laughter ) I had to drop 50 pounds in three months .	( หัวเราะ ) ผมต ้ องลดน ้ ำหนัก 50 ปอนด ์ [( 23 กิโลกรัม )] ภายในเวลา 3 เดือน	MEAS_CONV	A	POOL
ted_en2th_95074	"I &apos;m six foot one , and fat ."	ส ่ วนผม[สูง] 6 ฟุต 1 [นิ ้ ว] [( 182.5 cm )] และอ ้ วน	"MEAS_DIM; MEAS_SPEC; MEAS_CONV"	"A; A; R"	POOL
ted_en2th_95072	"He &apos;s six foot four . He &apos;s 160 pounds ."	เขา[สูง] 6 ฟุต 4 นิ ้ ว [( 190 เซนติเมตร )] , หนัก 160 ปอนด ์ [( 72.5 กิโลกรัม )]	"MEAS_DIM; MEAS_CONV; MEAS_CONV"	"A; A; A"	POOL
ted_en2th_95052	His core temperature had dropped to [77 degrees] .	อุณหภูมิร ่ างกายของเด ็ กคนนั ้ นลดลงจนถึง 77 องศาฟาเรนไฮต ์ ( [25 องศา][เซลเซียส] )	"MEAS_CONV; MEAS_SPEC"	"R; A"	POOL
ted_en2th_95044	The one after that , I stood on top of a hundred-foot pillar for 36 hours .	ถัดจากนั ้ น , ผมก ็ ยืนบนเสาสูงถึง 100 ฟุต [( ประมาณ 33 เมตร )] เป ็ นเวลา 36 ชม	MEAS_CONV	A	POOL
ted_en2th_94825	We need to strengthen K-12 .	เราจำเป ็ นต ้ องทำให ้ การ[ศึกษาระดับ] K-12 เข ้ มข ้ นขึ ้ น	HYPER	A	POOL
ted_en2th_94282	So you have a very bad name , State Department . This is not the State Department .	ดังนั ้ น ชื ่ อองค ์ กรคุณน ่ ะแย ่ มาก ชื ่ อกระทรวงต ่ างประเทศ [( State Department )] แต ่ งานของคุณไม ่ ใช ่ แค ่ ระดับประเทศ	TRANS	A	POOL
ted_en2th_94050	"&quot; We learned it in [college] . &quot;"	"&quot; เราเรียนมาจาก[มหาวิทยาลัย] &quot;"	SYS_CONV	R	POOL
ted_en2th_93990	And these reactors run at 600 to 700 degrees Celsius , which means the higher the temperature you go to , thermodynamics tells you that you will have higher efficiencies .	สำหรับเตาปฏิกรณ ์ ใหม ่ นี ้ ทำงานที ่ [อุณหภูมิ] 600-700 องศาเซลเซียส ซึ ่ งนั ่ นหมายถึง ด ้ วยอุณหภูมิที ่ สูงกว ่ า อุณหพลศาสตร ์ [( thermodynamics )] บอกคุณว ่ า คุณจะได ้ เตาที ่ มีประสิทธิภาพสูงขึ ้ น	"MEAS_DIM; TRANS"	"A; A"	POOL
