ID	Source	Target	Type	Style	Dataset
ted_en2it_100076	This went down very well in the [U.K.] , where religion is extremely unpopular .	Hanno avuto un grande successo in [Inghilterra] , dove la religione è veramente impopolare .	ENT_REP	R	POOL
ted_en2it_102698	They could have destroyed this little thing right here from [25,000 ft] .	Avrebbero potuto distruggere questo aggeggino da più di [8.000 m] .	MEAS_CONV	R	POOL
ted_en2it_10749	"Most people don &apos;t know that when I went to [high school] [in this country] — I applied for university at a time when I was convinced I was going to be an artist and be a sculptor ."	"Molti non sanno che quando andavo al [liceo] [qui negli Stati Uniti] mi sono iscritto all&apos; università in un momento in cui ero convinto che sarei stato un artista , uno scultore ."	"SYS_CONV; DEIX"	"R; R"	POOL
ted_en2it_10753	"And he was a clever man . He sort of said , &quot; Well , that &apos;s OK , but you &apos;ve done very well in your math SATs . &quot;"	"Mio padre era un uomo intelligente . Disse qualcosa tipo : &quot; va bene , ma hai avuto dei buoni risultati nel tuo SAT [( test di accesso all&apos; università )] di matematica &quot;"	SYS_DESC	A	POOL
ted_en2it_107854	The Getty here is moving their books to the UCLA , which is where we have one these scanning centers , and scanning their out-of-copyright books , which is fabulous .	"La fondazione Getty porta i suoi libri all &apos; [Università] UCLA dove abbiamo un centro di scansione dove digitalizziamo i libri i cui diritti d &apos; autore sono scaduti ."	ENT_HYP	A	EXTR
ted_en2it_10868	When it was announced that they were going to do every child in Uruguay , the first 100,000 , boom , went to [OLPC] .	"Quando ci fu l&apos; annuncio che avrebbero dato un computer a ogni bambino in Uruguay i primi 100.000 , bum ! andarono a [One Laptop Per Child] ."	ENT_ACR	R	EXTR
ted_en2it_108908	This farmer , for example , has invested [16,000 pounds] in growing spinach , not one leaf of which he harvested , because there was a little bit of grass growing in amongst it .	"Questo contadino , ad esempio , ha investito [23.000 euro] nella coltivazioni di spinaci , di cui non ha raccolto una sola foglia , per l&apos; erba che cresceva in mezzo alle piante ."	MEAS_CONV	A	POOL
ted_en2it_10981	"I mean , the Pointer Sisters said it most eloquently , didn &apos;t they , when they sang the praises of &quot; &quot; a lover with a slow hand . &quot; &quot; Now , we all laughed at Sting a few years ago when he went Tantric , but you fast-forward a few years , and now you find couples of all ages flocking to workshops , or maybe just on their own in their own bedrooms , finding ways to put on the brakes and have better sex ."	Voglio dire , le Pointer Sisters [( gruppo americano in voga negli anni 70-80 )] , lo dicono in modo più eloquente , no , quando tendono le lodi di un amante che usa la mano senza fretta . Ora , abbiamo tutti riso qualche anno fa quando Sting ha iniziato a fare sesso tantrico , ma andando avanti di qualche anno , vediamo come oggi coppie di qualsiasi età si iscrivano in massa alle lezioni , oppure stanno da soli nelle loro camere da letto , cercando di trovare un modo per tirare il freno ed essere più soddisfatti a letto .	ENT_DESC	A	POOL
ted_en2it_109892	So one of the tools that we use to sample the deep ocean are remotely operated vehicles .	"Uno degli strumenti per rilevare campioni delle profondità oceaniche sono i veicoli comandati a distanza [&#91; ROV &#93;] ."	ACR	A	POOL
ted_en2it_110028	"Roy Gould : Less than a year from now , the world is going to celebrate the International Year of Astronomy , which marks the 400th anniversary of Galileo &apos;s first glimpse of the night sky through a telescope ."	"Roy Gould : Tra meno di un anno , il mondo celebrerà l&apos; Anno Internazionale dell&apos; Astronomia [( 2009 )] che segna il 400esimo anniversario dalla prima sbirciata di Galileo nel cielo notturno attraverso un telescopio ."	ADD_INF	A	POOL
ted_en2it_110449	"I &apos;m a [sophomore] and studying communications , TV and mass media , and basically trying to live life like a normal kid , which I always wanted growing up ."	Sono uno studente al [secondo anno] del corso di comunicazione , TV e mass media . Sto cercando di vivere come un ragazzo normale , come ho sempre desiderato .	SYS_DESC	R	POOL
ted_en2it_110506	"&#91; &quot; &quot; [Academy Award Winner] for Visual Effects &quot; &quot; &#93; Second doctor : Welcome to your new body , Jake.First doctor : Good ."	"&#91; [Premio Oscar] per gli effetti visivi &#93; Secondo medico : Benvenuto nel tuo nuovo corpo , Jake . Primo medico : Bene ."	ENT_ACR	R	POOL
ted_en2it_110514	"&#91; &apos; [Academy Award] for Special Effects - ( First Year of Category ) &quot; &quot; &#93; ( Explosion ) &#91; &quot; &quot; &apos; 2012 &apos; ( 2009 ) &quot; &quot; &#93; Governor : It seems to me that the worst is over ."	"&#91; [Premio Oscar] per gli effetti speciali - ( primo anno della categoria ) &#93; ( Esplosioni e crolli ) &#91; &quot; &quot; 2012 &quot; &quot; , 2009 &#93; Governatore : Mi sembra che il peggio sia passato ."	ENT_ACR	R	POOL
ted_en2it_110774	"AM : I &apos;m a [senior] in Georgetown in the Foreign Service program ."	"Sono [all&apos; ultimo anno] del programma dei Servizi Internazionali a Georgetown ."	SYS_DESC	R	EXTR
ted_en2it_110885	"( Laughter ) Patrick Ewing , who played for Georgetown in the &apos; 80s , comes back every summer ."	"( Risate ) Patrick Ewing , che giocava [a basket] per Georgetown negli anni &apos; 80 , torna a casa tutti gli anni in estate ."	CLEAR	A	EXTR
ted_en2it_111133	( Applause ) And we went to school districts where now companies are making their way into cash-strapped schools all across [America] .	( Applausi ) E siamo andati nei distretti scolastici in cui le aziende stanno iniziando a far affari con scuole dal budget limitato negli [Stati Uniti] .	ENT_REP	R	EXTR
ted_en2it_113462	Good job , Aussies .	"Bel lavoro , Aussies [( &quot; &quot; Australiani &quot; &quot; )] ."	ENT_ACR	A	POOL
ted_en2it_114245	I went down to a depth of 880 feet and turned out the lights .	"Mi sono immersa fino alla profondita &apos; di 880 piedi [( 243.84m )] e ho spento le luci ."	MEAS_CONV	A	POOL
ted_en2it_114265	"And so , here , in the Gulf of Maine at 740 feet , I can name pretty much everything you &apos;re seeing there to the species level ."	"E cosi &apos; , eccoci nel Golfo del Maine a 740 piedi [( 225,552 )] . Posso dare un nome a quasi tutto quello che vedete qui a livello di specie ,"	MEAS_CONV	A	POOL
ted_en2it_116022	"Since this computer was made in conjunction with the Office of Naval Research , why don &apos;t we switch down to the Pentagon in Washington and let the Navy &apos;s research chief , Admiral Bolster , give Whirlwind the workout ?"	"Dal momento che il computer è stato creato in collaborazione con l&apos; Office of Naval Research [( Ufficio per le ricerche navali )] , perché non passiamo al Pentagono a Washington e lasciamo che il direttore della ricerca della Marina , l&apos; Ammiraglio Bolster , testi il Whirlwind ."	TRANS	A	POOL
ted_en2it_118021	She was [five foot two] , very feisty and very English .	Era [un metro e sessanta circa] , un tipo energico e molto inglese .	MEAS_CONV	R	POOL
ted_en2it_118516	"Well , we &apos;re in partnership with a [high school] ."	Collaboriamo con un [liceo] .	SYS_CONV	R	POOL
ted_en2it_119254	The USDA is not our ally here .	"Il [Dipartimento dell&apos; Agricoltura] non è dalla nostra parte ."	ENT_DESC	R	POOL
ted_en2it_119271	In my [junior year] , my computer graphics professor showed us these wonderful short films .	Al [terzo anno] , il professore di computer grafica ci mostrò dei corti meravigliosi .	SYS_DESC	R	POOL
ted_en2it_119402	But if you go to Santee Alley , yeah .	Ma se andate a Santee Alley , [il distretto della moda di Los Angeles] ,	ENT_DESC	A	POOL
ted_en2it_120475	And for that sharing activity to happen , we have to have well-protected spaces of fair use .	abbia luogo , dobbiamo prima aver protetto bene gli spazi del fair use [( uso giusto )] .	TRANS	A	POOL
ted_en2it_1219	( Laughter ) I got him to come with me — anesthesia tech — come with me from the [U.K.]	"( Risate ) L&apos; ho convinto a venire con me . Tecnico di anestesia , venuto con me dalla [Gran Bretagna] ."	ENT_REP	R	EXTR
