ID	Source	Target	Type	Style	Dataset
ted_en2es_73366	"And said , &quot; &quot; Hi , I &apos;m trying to make a toaster ."	"&quot; &quot; Hola , estoy tratando de hacer una tostadora [&#91; &apos; toaster &apos; , NT &#93;] ."	"TRANS; LING_EXPL"	A	POOL
ted_en2es_193837	The overlong ears , the overlarge feet , helps us to picture , to feel intuitively , what it means to limp and to tremble .	"Las orejas tan largas los pies alargados nos ayudan a imaginar , a sentir de manera intuitiva , qué significa &apos; cojear &apos; [&#91; limp , NT &#93;] y &apos; temblar &apos; . [&#91; tremble , NT &#93;]"	"TRANS; LING_EXPL"	A	POOL
ted_en2es_193772	And in terms of the line of poetry , why does the poet use the word hare rather than rabbit ?	"Y en cuanto al verso de la poesía : ¿ por qué el poeta usa &apos; hare &apos; [&#91; liebre , NT &#93;] en vez de &apos; rabbit [&apos; ? &#91; conejo , NT &#93;]"	"TRANS; LING_EXPL"	A	POOL
ted_en2es_121954	"They texted me back , &quot; &quot; It &apos;s called a syzygy . &quot; &quot; Which I knew , because it &apos;s the word that won me the Ohio spelling bee in 1976 ."	"Y me escribieron : &quot; &quot; Se llama conjunción planetaria [( o &apos; syzgy &apos; en inglés )] &quot; &quot; . Lo que sabia , porque fue la palabra con la que gané la competencia de deletrear en Ohio en 1976 ."	"TRANS; LING_EXPL"	A	POOL
ted_en2es_201767	"( Music ) &#91; &quot; &quot; Self evident truths &quot; &quot; &#93; &#91; &quot; &quot; 4,000 faces across [America] &quot; &quot; &#93; ( Music ) ( Applause ) iO Tillett Wright : Absolutely nothing could have prepared us for what happened after that ."	"( Música ) &#91; &quot; &quot; Self evident truths [( Verdades Evidentes )] &quot; &quot; &#93; &#91; &quot; &quot; 4000 caras a lo largo de [EE.UU.] &quot; &quot; &#93; ( Música ) ( Aplausos ) Absolutamente nada habría podido prepararnos para lo que pasó después de eso ."	"TRANS; ENT_REP"	"A;R "	POOL
ted_en2es_201750	Self Evident Truths is a photographic record of LGBTQ [America] today .	"— Self Evident Truths [&#91; Verdades evidentes &#93;] es un registro fotográfico de la comunidad LGBTQ de [EE.UU.]"	"TRANS; ENT_REP"	"A; R"	POOL
ted_en2es_79838	The North American Network Operators Group , a group of people who , on a beautiful day outside , enter into a windowless room , at their terminals reading email and messages in fixed proportion font , like this , and they talk about networks .	"el North American Network Operators Group , [&#91; Grupo de operadores de la Red de América del Norte &#93;] . Se trata de un grupo de personas que en cualquier día hermoso en una habitación sin ventanas , en sus computadoras leen el correo electrónico y mensajes con tipos de fuentes fijas , como éste , y hablan sobre redes ."	TRANS	A	POOL
ted_en2es_53342	"The first signal was for everybody to hold up these four-foot tall letters that spelled out &quot; &quot; Look Up More , &quot; &quot; the name of the project ."	"La primera señal fue para que levanten estas letras de más de un metro de alto que dicen &quot; &quot; Look Up More &quot; &quot; [( buscar más )] el nombre del proyecto ."	TRANS	A	POOL
ted_en2es_5082	And at the end of my freshman year of college , I read an article about the work that Dr. Barry Zuckerman was doing as Chair of Pediatrics at Boston Medical Center .	Y al final de mi primer año en la universidad , leí un artículo sobre el trabajo del Dr. Barry Zuckerman como jefe de pediatría del Boston Medical Center [( Centro Médico de Boston )] .	TRANS	A	EXTR
ted_en2es_203965	"And in a premonition of today &apos;s world of cloud computing and softwares of service , his system was called NLS for oN-Line System ."	"Y como premonición del mundo de hoy , de computación en la nube y software como servicio , su sistema se llamó NLS de &quot; &quot; oN-Line System &quot; &quot; [( Sistema eN-Línea )] ."	TRANS	A	EXTR
