ID	Source	Target	Type	Style	Dataset
ted_en2fr_161034	These are the three guiding principles of the Honey Bee Network : that whenever we learn something from people it must be shared with them in their language .	"Ce sont ces principes qui guident le réseau Honey Bee [( &quot; &quot; abeille &quot; &quot; - NdT )] . Quand on apprend quelque chose de gens , on doit le partager avec eux dans leur langue ."	"TRANS; LING_EXPL"	A	POOL
ted_en2fr_190070	And I had finally got around to doing some draft stripping , installing insulation around the windows and doors to keep out the drafts .	"J&apos; avais finalement trouvé le temps pour faire du calfeutrage , installer une isolation autour des fenêtres et des portes pour bloquer les courants d&apos; air [&#91; &quot; &quot; drafts &quot; &quot; , NdT &#93;] ."	"TRANS; LING_EXPL"	A	POOL
ted_en2fr_23937	"Here &apos;s a net in the sea , and the fish have been pulled from the sea into this net ."	"voici un filet [( &quot; &quot; net &quot; &quot; en anglais )] dans la mer , et les poissons sont pêchés dans ce filet ."	"TRANS; LING_EXPL"	A	POOL
ted_en2fr_23825	"Ain &apos;t virgin no longer , or something ."	"&quot; &quot; Ne soyez plus vierge [( virgin en anglais )] &quot; &quot; , ou quelque chose comme ça ."	"TRANS; LING_EXPL"	A	POOL
ted_en2fr_60544	"Inside NSA , the unit is called TAO , Tailored Access Operations , and inside GCHQ , which is the [U.K.] equivalent , it &apos;s called NAC , Network Analysis Centre ."	"Au sein de la NSA , l&apos; équipe s&apos; appelle TAO , Tailored Access Operations [( Opérations d&apos; accès personnalisées )] , au sein de GCHQ , l&apos; équivalent [britannique] , elle s&apos; appelle NAC , Network Analysis Centre [( Centre d&apos; analyse de réseau )] ."	"TRANS; ENT_REP"	"A; R"	POOL
ted_en2fr_177773	"What we &apos;ve done is to set up the Center for Vision in the Developing World here in the university ."	Nous avons créé le « Center for Vision in the Developing World » [( Centre pour la Vision dans le Monde en Développement )] ici à l ’ université [d ’ Oxford] .	"TRANS; DEIX"	A	POOL
ted_en2fr_157589	This is measured by something called the Reading the Mind in the Eyes Test .	"C&apos; est mesuré par un test , le [R.M.E.T] [( « Lire l&apos; Esprit dans les Yeux » )]"	"TRANS; ACR"	A	POOL
ted_en2fr_105288	"This is sort of a self-portrait taxidermy time capsule piece called A Point Just Passed , in which I project myself on top of a time card punch clock , and it &apos;s up to you ."	"C&apos; est un genre de capsule témoin d&apos; un autoportrait empaillé appelée « A Point Just Passed » [( un instant vient de passer )] , où je projette mon image au-dessus d&apos; une pointeuse . Et c&apos; est à vous de choisir ."	TRANS	A	POOL
ted_en2fr_109071	It was called the bullet train because it was rounded in front , but every time it went into a tunnel it would build up a pressure wave , and then it would create like a sonic boom when it exited .	"On l&apos; a appelé le &quot; &quot; bullet train &quot; &quot; [&#91; bullet = balle d&apos; arme à feu &#93;] parce qu&apos; il est arrondi à l&apos; avant . Mais chaque fois qu&apos; il entrait dans un tunnel , il créait une vague de pression . Et ensuite , il créait une sorte de bang quand il quittait le tunnel ."	TRANS	A	POOL
ted_en2fr_123101	Well , our approach to finding longevity was to team up with National Geographic , and the National Institute on Aging , to find the four demographically confirmed areas that are geographically defined .	Pour acquérir les secrets de la longévité , nous avons fait équipe avec National Geographic , et le National Institute on Aging [( Institut National du Vieillissement )] afin de trouver les 4 zones démographiquement confirmées , qui sont déterminées géographiquement .	TRANS	A	POOL
ted_en2fr_137915	You can see it at a gross level in the world of dating .	C ’ est ce qui se passe de manière évidente dans le monde du « dating » [( les rencontres )] .	TRANS	A	POOL
